for_mat_baa_st for_mat_prop fw_a_a for_mat_b_prop
 4871.03 0.0651659 206.569 0.0356184
 10041.1 0.107627 257.824 0.0734235
 5267.55 0.0479031 303.885 0.0385179
 12082.2 0.0965579 345.797 0.0883484
 21928.6 0.162473 372.986 0.160348
 22867.9 0.157382 401.546 0.167216
 12958.4 0.0864797 414.095 0.0947552
 15465.2 0.0962535 444.019 0.113086
 31274.3 0.180158 479.732 0.228687
