tot_mat_B_tons tot_obs_aerial_tons res_aerial init_age_4 est_seine_comp4 est_seine_comp5 est_seine_comp6 est_seine_comp7 est_seine_comp8 est_seine_comp9 est_seine_comp10 est_seine_comp11 est_seine_comp12 obs_seine_comp4 obs_seine_comp5 obs_seine_comp6 obs_seine_comp7 obs_seine_comp8 obs_seine_comp9 obs_seine_comp10 obs_seine_comp11 obs_seine_comp12 est_mat_comp4 est_mat_comp5 est_mat_comp6 est_mat_comp7 est_mat_comp8 est_mat_comp9 est_mat_comp10 est_mat_comp11 est_mat_comp12 obs_mat_comp4 obs_mat_comp5 obs_mat_comp6 obs_mat_comp7 obs_mat_comp8 obs_mat_comp9 obs_mat_comp10 obs_mat_comp11 obs_mat_comp12 tot_post_N N tot_sp_N tot_mat_N tot_obs_aerial_tuned_tons threshold yminusfour yminusthree yminustwo yminusone Year past_forecasts tot_obs_catch_tons
 63499.4 68686.1 0 90.2649 0.038885 0.0173307 0.418277 0.405374 0.0964796 0.00561982 0.00579656 0.00561982 0.00661706 0.00851 0.00576 0.4451 0.42655 0.08402 0.00369 0.00939 0.00535 0.01162 0.0791209 0.0239084 0.424061 0.351945 0.0994483 0.00511208 0.00527286 0.00511208 0.00601922 0.05064 0.00867 0.4107 0.38491 0.12455 0.00546 0.0033 0.00439 0.00738 324.708 399.499 120.826 195.616 0 -9 57682 58888 77980 -9 1980 -9 24516.5
 105867 158650 0.350322 1594.62 0.44614 0.0496888 0.0169784 0.265596 0.178501 0.0359205 0.00165122 0.00176336 0.00376058 0.49296 0.08019 0.0156 0.23331 0.12408 0.0479 0.00172 0.00345 0.00079 0.627212 0.0473617 0.0118931 0.159321 0.127127 0.0225762 0.0010378 0.00110828 0.00236354 0.61856 0.07119 0.01162 0.16727 0.09441 0.03378 0.00055 0.00243 0.00019 1794.06 1841.83 388.172 435.934 158650 -9 109128 109638 135211 -9 1981 -9 12489.2
 203891 97902.9 -0 1458.5 0.229306 0.5004 0.0439899 0.0107255 0.12513 0.0750584 0.0129013 0.000581639 0.00190831 0.21655 0.55116 0.03374 0.00833 0.12433 0.05385 0.00862 0.00196 0.00147 0.328098 0.485436 0.0313615 0.00654808 0.090699 0.0480124 0.00825257 0.000372056 0.00122068 0.21626 0.55225 0.03052 0.0088 0.11906 0.06005 0.00955 0.00198 0.00153 2744.27 2824.6 681.887 762.22 0 -9 196858 197028 209852 -9 1982 -9 21821.3
 290816 233702 -0.18935 608.169 0.0611871 0.293464 0.508006 0.0320121 0.00599716 0.061559 0.0317519 0.00526469 0.000757811 0.01635 0.26905 0.58316 0.01878 0.01825 0.07145 0.02296 0 0 0.106528 0.346405 0.440683 0.0237807 0.00528933 0.0479137 0.0247137 0.00409771 0.000589833 0.07018 0.38823 0.44052 0.01587 0.01657 0.04953 0.01563 0.00253 0.00094 2610.6 2697.57 891.934 978.904 233702 -9 274695 274969 254955 -9 1983 -9 26786.2
 340282 114880 -0 177.738 0.013739 0.0945328 0.362508 0.45379 0.0215536 0.00345682 0.0311969 0.0162156 0.00300707 0.00233 0.05519 0.36501 0.43493 0.02603 0.07423 0.03704 0.00524 0 0.0282066 0.131584 0.370824 0.397519 0.0224165 0.00317277 0.0286333 0.0148831 0.00275997 0.00522 0.0387 0.33761 0.41499 0.03735 0.11258 0.0515 0.00204 2e-005 2105.08 2164.83 1020.71 1080.46 0 -9 314097 315702 267237 -9 1984 -9 19419.4
 423793 131400 -0 402.257 0.0279892 0.0249473 0.138654 0.388764 0.370842 0.0155623 0.00161864 0.0195971 0.0120255 0.01799 0.01771 0.08436 0.32775 0.41542 0.07322 0.04199 0.01607 0.00551 0.0571733 0.0345503 0.141121 0.338842 0.383746 0.0142116 0.00147815 0.0178962 0.0109818 0.03056 0.02389 0.09772 0.35921 0.38539 0.05762 0.03214 0.01158 0.00188 1932.47 2004.17 1134.69 1206.39 0 -9 381140 385749 327852 -9 1985 -9 25811.7
 430950 94770.1 -0 82.1542 0.00599262 0.0591732 0.0426068 0.172967 0.36836 0.316101 0.0111104 0.000976377 0.0227119 0 0.02284 0.02064 0.16271 0.41657 0.2991 0.04197 0.02519 0.01099 0.0123655 0.0827842 0.0438056 0.152289 0.385054 0.291601 0.0102493 0.000900698 0.0209515 0 0.02007 0.02978 0.1745 0.44612 0.26634 0.04515 0.01303 0.005 1509.71 1552.51 1096.39 1139.19 0 -9 392668 398561 340136 -9 1986 -9 16275.6
 433736 88397.6 -0 300.343 0.024355 0.0134582 0.107723 0.0570081 0.176895 0.339736 0.253842 0.00868467 0.0182975 0.00235 0.00103 0.10151 0.10725 0.25663 0.42671 0.08235 0.01242 0.00974 0.0508968 0.0190684 0.112167 0.0508331 0.187271 0.317402 0.237154 0.00811373 0.0170946 0.00224 0.00411 0.10363 0.11413 0.28996 0.40189 0.06676 0.01147 0.0058 1409.79 1445.67 975.942 1011.82 0 -9 410451 415923 350373 -9 1987 -9 15530.5
 354328 134718 -0 244.66 0.0229073 0.0568125 0.0254514 0.149773 0.0604967 0.169537 0.283368 0.209976 0.0216785 0.00946 0.07561 0.01574 0.16535 0.05827 0.1827 0.30551 0.15433 0.03304 0.0482565 0.0811431 0.0267146 0.134624 0.0645604 0.159666 0.266869 0.19775 0.0204162 0.05897 0.09228 0.01728 0.14664 0.05055 0.16324 0.29443 0.13703 0.03958 1275.99 1309.62 835.695 869.331 0 35000 347585 351064 288862 -9 1988 -9 14166.9
 304129 98965.1 -0 42.6838 0.0047166 0.0546214 0.109838 0.0362409 0.162898 0.0593146 0.1436 0.236548 0.192222 0.0015 0.07555 0.08775 0.0361 0.15441 0.05962 0.16243 0.23076 0.19188 0.00989088 0.0776595 0.114766 0.0324275 0.173051 0.0556074 0.134625 0.221764 0.180209 0.00091 0.09622 0.16884 0.04128 0.1482 0.04926 0.16013 0.19524 0.1399 973.689 1002.98 710.666 739.956 0 35000 299163 301590 241975 -9 1989 -9 12258.8
 260852 88105.1 -0 92.1636 0.0119468 0.0111769 0.104902 0.154839 0.0389407 0.158018 0.0498939 0.119537 0.350747 0.0008 0.00529 0.06611 0.13857 0.03766 0.19089 0.06395 0.14377 0.35295 0.0259272 0.0164458 0.113434 0.143381 0.0428116 0.153312 0.0484081 0.115977 0.340303 0.00189 0.00532 0.08946 0.13213 0.03683 0.17645 0.06511 0.14819 0.34462 793.306 821.503 581.313 609.511 0 35000 258337 259619 205330 -9 1990 -9 12230.1
 251075 83229.1 -0 716.994 0.102436 0.0265922 0.0201446 0.138776 0.156376 0.0353583 0.124369 0.0387362 0.357211 0.02024 0.00196 0.00836 0.10201 0.14502 0.04521 0.18763 0.06863 0.42094 0.198 0.0348492 0.019401 0.114455 0.153121 0.0305541 0.107471 0.033473 0.308676 0.161 0.015 0.016 0.184 0.182 0.05 0.102 0.047 0.243 1275.29 1309.74 586.466 620.91 0 35000 243909 244676 197715 -9 1991 -9 14970.5
 245332 156957 -0.386804 506.2 0.0740484 0.21157 0.0444194 0.0246312 0.128636 0.129411 0.0251736 0.0882222 0.273888 0.19907 0.31139 0.01238 0.01033 0.0914 0.09123 0.0219 0.06056 0.20175 0.135547 0.262576 0.0405137 0.0192384 0.119286 0.105903 0.0206008 0.0721969 0.224137 0.201 0.31 0.008 0.009 0.124 0.102 0.026 0.054 0.166 1407.01 1468.19 579.155 640.339 156957 35000 233392 233700 193639 -9 1992 -9 25818.3
 193490 193847 0.00159584 215.499 0.0307763 0.145336 0.333606 0.0507475 0.0206728 0.0946182 0.0814992 0.0159669 0.226777 0.01159 0.1537 0.35298 0.02413 0.0152 0.11854 0.11157 0.03157 0.18072 0.0349818 0.153362 0.331369 0.0489974 0.022843 0.0922657 0.0794729 0.0155699 0.221138 0.01 0.102 0.316 0.018 0.012 0.132 0.14 0.033 0.236 1232.85 1279.84 503.441 550.435 193847 35000 192006 192144 175370 -9 1993 148786 17955.5
 211187 185412 -0.112726 236.926 0.0318113 0.0582549 0.221669 0.370209 0.0425906 0.0153139 0.0598859 0.0508824 0.149383 0.0045 0.0284 0.1736 0.3602 0.034 0.0236 0.1069 0.0907 0.178 0.0364891 0.0620344 0.222198 0.360713 0.0474921 0.0150698 0.0589313 0.0500713 0.147001 0.003 0.025 0.159 0.338 0.029 0.03 0.116 0.107 0.193 1090.14 1169.88 500.418 580.167 185412 35000 201513 201351 193292 -9 1994 142497 30314.7
 200524 23550.2 -0 246.909 0.0344061 0.0662979 0.0973392 0.266693 0.332175 0.033659 0.0082753 0.036137 0.125017 0.012 0.055 0.092 0.26 0.301 0.053 0.021 0.052 0.1511 0.0380301 0.0680316 0.0940224 0.250401 0.356932 0.0319178 0.00784721 0.0342676 0.11855 0.012 0.055 0.092 0.26 0.301 0.053 0.021 0.052 0.1511 1001.15 1072.92 508.35 580.113 0 35000 183058 183803 179832 -9 1995 149093 26732.1
 191894 94051.9 -0 193.879 0.0292201 0.0747606 0.115661 0.122929 0.253001 0.278117 0.0235635 0.00447143 0.098276 0.003 0.05 0.07 0.088 0.227 0.255 0.076 0.046 0.184 0.0325741 0.0773719 0.112676 0.116407 0.274183 0.265986 0.0225357 0.0042764 0.0939894 -9 -9 -9 -9 -9 -9 -9 -9 -9 888.83 953.459 467.187 531.816 0 35000 175017 175855 175108 -9 1996 135585 24871.4
 161548 144888 -0.0942557 343.055 0.0559415 0.0635453 0.130681 0.146494 0.117049 0.213121 0.197461 0.0137995 0.0619085 0.1141 0.091 0.167 0.148 0.086 0.16 0.13 0.036 0.07 0.0632428 0.0666929 0.129104 0.140679 0.128639 0.206701 0.191513 0.0133839 0.0600438 0.1251 0.07 0.149 0.12 0.091 0.171 0.138 0.052 0.082 949.334 1016.91 417.106 484.68 144888 35000 152349 152810 154537 -9 1997 125000 23813.2
 153243 9872.1 -0 73.4208 0.0133665 0.125317 0.114075 0.169008 0.141383 0.0999513 0.1527 0.139338 0.0448604 0.001 0.068 0.063 0.121 0.115 0.113 0.146 0.179 0.194 0.0151004 0.131432 0.112619 0.162185 0.155273 0.096872 0.147995 0.135046 0.0434783 -9 -9 -9 -9 -9 -9 -9 -9 -9 730.626 792.921 372.151 434.445 0 35000 146437 146454 148286 -9 1998 121000 22777.1
 130099 157030 0.162931 74.5377 0.0151975 0.0300532 0.225975 0.148166 0.161939 0.119428 0.0710376 0.108275 0.11993 0.01 0.025 0.307 0.129 0.144 0.107 0.048 0.11 0.121 0.0172105 0.0315959 0.223632 0.142529 0.178278 0.116029 0.0690159 0.105193 0.116517 0.005 0.017 0.182 0.109 0.129 0.105 0.071 0.145 0.235 571.02 627.493 330.505 386.978 157030 35000 123387 123202 122684 -9 1999 90000 19878
 125936 93214.9 -0 409.224 0.0900425 0.0329113 0.0521687 0.282313 0.137894 0.131497 0.0819607 0.047087 0.144126 0.029 0.023 0.03 0.199 0.168 0.1 0.098 0.107 0.248 0.101489 0.0344378 0.0513846 0.270293 0.151092 0.127153 0.0792532 0.0455315 0.139365 -9 -9 -9 -9 -9 -9 -9 -9 -9 785.348 840.82 304.812 360.285 0 35000 120141 120139 116472 -9 2000 130904 20421.4
 131077 115156 -0.0915657 595.219 0.129642 0.178793 0.05236 0.0596656 0.238152 0.100758 0.0811954 0.0503042 0.109131 0.029 0.164 0.05 0.04 0.292 0.094 0.116 0.066 0.15 0.141459 0.181115 0.0499272 0.0553024 0.25262 0.0943203 0.0760078 0.0470902 0.102158 0.105 0.336 0.062 0.036 0.225 0.059 0.059 0.039 0.08 1130.31 1190.43 315.849 375.967 115156 35000 131167 131665 125157 -9 2001 119818 22330.6
 134509 61377.6 -0 245.846 0.0412565 0.237724 0.287077 0.0593136 0.0469242 0.146957 0.0546653 0.0419682 0.0841139 0.02 0.346 0.312 0.04 0.043 0.104 0.044 0.035 0.056 0.0555452 0.250352 0.26017 0.0531905 0.0506632 0.148022 0.0550614 0.0422723 0.0847235 -9 -9 -9 -9 -9 -9 -9 -9 -9 1057.71 1104.17 349.026 395.476 0 35000 140202 140088 137273 -9 2002 120196 17049.4
 157263 47074.5 -0 85.8667 0.0125477 0.0858444 0.366318 0.286465 0.0422875 0.0279786 0.0806807 0.0292983 0.0685799 0.001 0.027 0.365 0.245 0.044 0.07 0.092 0.05 0.106 0.0177851 0.0951762 0.349505 0.270452 0.0480669 0.0296688 0.0855547 0.0310683 0.0727229 -9 -9 -9 -9 -9 -9 -9 -9 -9 832.49 888.907 374.975 431.392 0 35000 161616 160914 163266 -9 2003 126213 21662.6
 162144 53625.5 -0 86.2205 0.0125912 0.0299545 0.151672 0.418031 0.232179 0.0289869 0.016181 0.0500615 0.060343 0.001 0.003 0.038 0.437 0.246 0.036 0.054 0.071 0.109 0.0175086 0.0325815 0.141969 0.387185 0.25891 0.0301557 0.0168334 0.05208 0.062776 -9 -9 -9 -9 -9 -9 -9 -9 -9 669.537 718.058 391.489 440.01 0 35000 160528 160237 165144 -9 2004 143124 18868.3
 157485 163739 0.0275341 196.811 0.0318977 0.0334004 0.0588937 0.193802 0.388352 0.188775 0.019641 0.00882129 0.0764165 0.00136 0.00409 0.01008 0.14332 0.46185 0.19673 0.05531 0.04605 0.0812 0.0420879 0.0344725 0.0523082 0.170326 0.410928 0.186348 0.0193884 0.00870786 0.0754339 0.00162 0.00527 0.00972 0.13244 0.44269 0.20251 0.05751 0.05427 0.09396 651.768 704.942 364.652 417.826 163739 35000 156462 156850 162426 -9 2005 96029 20911.9
 152745 179582 0.114453 192.726 0.0364747 0.0889456 0.068888 0.0786011 0.186422 0.326042 0.140464 0.0130949 0.0610675 0.04665 0.12457 0.05195 0.05062 0.23271 0.24516 0.14365 0.01988 0.08424 0.048071 0.0916937 0.0611136 0.0689993 0.197029 0.321474 0.138496 0.0129115 0.0602119 0.0591 0.13236 0.05303 0.04719 0.22787 0.24292 0.13483 0.02112 0.08045 631.051 687.113 302.168 358.229 179582 35000 159718 159776 167738 -9 2006 129976 23953.2
 130857 143828 0.0668346 193.178 0.0413286 0.0980124 0.17527 0.0877241 0.0712094 0.141458 0.234374 0.099437 0.051187 0.01574 0.11559 0.19774 0.06247 0.09247 0.20216 0.19872 0.06099 0.05411 0.0554469 0.102856 0.158284 0.0783917 0.0766134 0.141983 0.235243 0.0998057 0.0513768 0.01574 0.11559 0.19774 0.06247 0.09247 0.20216 0.19872 0.06099 0.05411 631.658 671.084 271.878 311.304 143828 35000 142351 141509 149640 -9 2007 134566 17132.1
 118541 136840 0.101512 337.518 0.0721447 0.0985843 0.172856 0.199593 0.0722908 0.0507975 0.0887754 0.148544 0.0964142 0.07364 0.10568 0.18512 0.18028 0.08364 0.06244 0.10312 0.12743 0.07721 0.0969408 0.103618 0.156347 0.178637 0.0778981 0.0510653 0.0892435 0.149327 0.0969226 0.11181 0.12569 0.17187 0.16475 0.07444 0.05341 0.08625 0.1273 0.0824 763.904 815.539 259.461 311.096 136840 35000 129926 128276 133204 -9 2008 130516 20523.9
 124272 142155 0.0950709 583.465 0.113661 0.15665 0.157468 0.17521 0.143754 0.0444097 0.0266142 0.0470758 0.135156 0.15302 0.19276 0.15252 0.14288 0.10778 0.05102 0.03942 0.05643 0.10041 0.14884 0.160458 0.138804 0.152824 0.150962 0.0435077 0.0260736 0.0461196 0.132411 0.17568 0.2073 0.15879 0.13536 0.10019 0.04282 0.03747 0.04689 0.09131 1117.84 1162.48 305.632 350.267 142155 35000 137082 134670 135304 -9 2009 121800 17107.9
 146489 146914 0.00205184 427.119 0.068885 0.224588 0.228653 0.148181 0.118325 0.0846095 0.0225397 0.0125124 0.0917062 0.02741 0.2926 0.23837 0.12809 0.10011 0.0676 0.04555 0.0327 0.06756 0.0918226 0.234172 0.205165 0.131566 0.126486 0.0843772 0.0224779 0.0124781 0.0914545 0.02504 0.24759 0.2185 0.13078 0.11098 0.08546 0.05542 0.04559 0.08065 1206.25 1276.16 345.721 415.626 146914 35000 160164 157687 155786 -9 2010 146775 26356.3
 162670 62333.6 -0 360.461 0.0490434 0.138459 0.331927 0.215435 0.0958355 0.0653966 0.0426086 0.0100216 0.051273 0.00133 0.05694 0.32392 0.23158 0.1412 0.10504 0.05265 0.03962 0.04771 0.0673867 0.148812 0.307001 0.197168 0.105599 0.0672249 0.0437998 0.0103018 0.0527065 -9 -9 -9 -9 -9 -9 -9 -9 -9 1219.86 1277.29 420.522 477.955 0 35000 166664 167234 166383 -9 2011 140860 22877.4
