MODEL RESULTS
Objective function value:,747.917
  
Dataset Components:
Catch SSQ,747.59
Total Run,0.177656
Aerial Biomass,0.149238
  
  
FORECAST INFORMATION:
Mature Biomass Forecast (tons),140537
Mature Biomass Forecast (tonnes),127493
Mature Numbers-at-age (millions),334.754
  
,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9 ,Age 10,Age 11,Age 12+
Forecast numbers-at-age (millions),303.874,133.383,69.8621,59.9662,54.1034,45.2091,26.6261,28.8221,57.7362
Forecast mature numbers-at-age (millions),24.5692,27.1032,29.6956,40.8889,54.1034,45.2091,26.6261,28.8221,57.7362
Forecast mature biomass-at-age (metric tonnes),5405.22,6992.62,8849.3,14352,20775.7,18354.9,11156.3,13085.2,28521.7
Forecast mature prop. at age (by number),0.0733947,0.0809645,0.0887088,0.122146,0.161621,0.135052,0.0795394,0.0860995,0.172474
Forecast mature prop. at age (by biomass),0.0423962,0.0548471,0.06941,0.112571,0.162956,0.143968,0.0875055,0.102635,0.223712
tot_sel_N:,pre-fishery numbers (naa) x gear selectivity; total abundance selected by gear (millions)
tot_mat_N:,Total mature abundance (millions)
tot_sel_B:,Observed weight-at-age x estimated age composition of catch
init_age_3:,Mature and immature age-3 abundance (recruitment in milllions)
tot_sp_N:,Total spawning abundance (millions)
tot_obs_catch:,Total observed catch (tonnes)
tot_obs_aerial_tons:,Observed aerial biomass (tons)
N:,Pre-fishery total abundance (millions)
tot_mat_B_tons:,Total mature biomass (tons)
tot_post_N:,Post fishery total abundance (millions)
Year,tot_sel_N,tot_mat_N,tot_sel_B,init_age_3,tot_sp_N,tot_obs_catch,tot_obs_aerial_tons,N,tot_mat_B_tons,tot_post_N
1980,189.406,197.608,300.839,99.6091,122.843,18515,68686,429.665,64274.6,354.9
1981,283.187,448.125,243.654,1770.66,400.619,9228,158650,2033.65,108947,1986.14
1982,497.415,769.255,258.354,1596.83,688.762,13451,97902.8,3068.62,206133,2988.13
1983,782.804,966.67,280.801,658.546,880.322,19316,233702,2872.83,287348,2786.49
1984,1020.27,1052.46,292.986,190.567,992.791,13132,114879,2255.43,331784,2195.76
1985,1117.92,1181.85,324.892,434.375,1110.38,19288,131400,2061.5,416013,1990.02
1986,1043.35,1110.8,348.068,87.056,1067.93,11653,94770,1561.72,420944,1518.85
1987,921.142,975.483,398.089,322.679,940.058,11448,88397.5,1448.19,418231,1412.76
1988,790.613,829.936,380.995,260.331,796.478,9408,134718,1307.23,338155,1273.77
1989,669.327,705.74,379.982,46.2699,676.387,8539,98965,990.17,290213,960.817
1990,572.36,580.487,393.068,100.477,552.034,8387,88105,812.47,248836,784.017
1991,522.233,603.573,394.227,794.686,569.067,10694,83229,1375.66,242695,1341.16
1992,515.307,627.893,378.085,563.166,566.454,18850,156957,1557,239122,1495.56
1993,537.849,540.016,319.039,240.67,492.81,13028,193847,1348.92,189367,1301.72
1994,579.459,573.704,330.431,264.824,494.048,20610,185412,1229.43,208564,1149.78
1995,558.205,577.483,313.672,275.934,505.575,17905,0,1127.95,199484,1056.04
1996,511.949,527.884,327.814,215.157,463.49,16207,0,997.715,190295,933.322
1997,471.045,478.962,303.071,375.551,411.18,16918,144888,1067.17,159420,999.386
1998,421.803,428.171,320.078,79.1253,365.679,15263,0,819.699,150832,757.206
1999,376.658,380.814,304.688,82.6912,324.175,13628,157029,643.803,127917,587.164
2000,348.956,356.039,318.562,472.664,300.384,13570,0,907.769,123998,852.114
2001,355.683,376.294,316.718,695.419,315.728,14378,115156,1326.86,130054,1266.29
2002,393.973,400.808,306.968,290.926,354.022,10736,0,1229.29,134835,1182.5
2003,447.994,443.423,327.833,104.435,386.845,13751,0,980.701,160242,924.123
2004,454.048,458.61,331.518,104.662,409.975,12599,0,789.463,167965,740.828
2005,419.534,438.722,341.241,232.52,385.918,13488,163738,781.494,164626,728.69
2006,366.005,376.789,387.205,224.215,316.529,16821,179582,764.195,160028,703.935
2007,320.898,325.35,381.955,219.124,277.055,15263,143828,740.76,136348,692.466
2008,314.757,319.528,347.573,374.94,267.748,14235,136840,888.077,121559,836.296
2009,346.431,359.013,327.132,639.568,314.279,11764,142155,1259.29,128019,1214.55
2010,410.202,421.587,324.29,464.597,351.971,17070,146914,1364.62,149847,1295
2011,474.21,479.446,311.66,384.61,422.43,15395,0,1344.24,164450,1287.22
2012,523.554,528.691,307.876,235.107,481.522,11788,167740,1188.98,179449,1141.81
2013,538.998,553.882,351.131,260.921,486.216,17569,169022,1107.03,214386,1039.37
2014,503.67,514.938,361.979,208.631,452.18,17730,203269,978.831,205189,916.074
2015,451.418,461.119,374.469,158.446,406.655,19410,228809,837.283,190141,782.818
2016,398.045,402.789,381.951,130.628,367.471,13426,0,710.719,169388,675.4
2017,357.547,364.511,387.348,181.288,324.689,14322,90269.4,681.778,155271,641.957
  
