tot_mat_B_tons tot_obs_aerial_tons res_aerial init_age_3 est_seine_comp4 est_seine_comp5 est_seine_comp6 est_seine_comp7 est_seine_comp8 est_seine_comp9 est_seine_comp10 est_seine_comp11 est_seine_comp12 obs_seine_comp4 obs_seine_comp5 obs_seine_comp6 obs_seine_comp7 obs_seine_comp8 obs_seine_comp9 obs_seine_comp10 obs_seine_comp11 obs_seine_comp12 est_mat_comp4 est_mat_comp5 est_mat_comp6 est_mat_comp7 est_mat_comp8 est_mat_comp9 est_mat_comp10 est_mat_comp11 est_mat_comp12 obs_mat_comp4 obs_mat_comp5 obs_mat_comp6 obs_mat_comp7 obs_mat_comp8 obs_mat_comp9 obs_mat_comp10 obs_mat_comp11 obs_mat_comp12 tot_post_N N tot_sp_N tot_mat_N tot_obs_aerial_tuned_tons threshold
 242695 83229 -0 794.686 0.104699 0.0274623 0.0210311 0.140988 0.155928 0.0334573 0.118152 0.0364623 0.36182 0.0202385 0.0019644 0.008356 0.10201 0.145023 0.0452147 0.187631 0.0686251 0.420938 0.209499 0.0350928 0.0190397 0.109082 0.151501 0.0289485 0.102229 0.0315484 0.31306 0.161 0.015 0.016 0.184 0.182 0.05 0.102 0.047 0.243 1341.16 1375.66 569.067 603.573 0 35000
 239122 156957 -0.421002 563.166 0.0751936 0.219892 0.0461698 0.0252362 0.125687 0.122836 0.0231577 0.0826596 0.279168 0.199065 0.311387 0.0123846 0.0103262 0.0913999 0.0912312 0.0219009 0.0605565 0.201748 0.142714 0.266524 0.0396462 0.0185199 0.115832 0.10081 0.0190053 0.067838 0.229111 0.201 0.31 0.008 0.009 0.124 0.102 0.026 0.054 0.166 1495.56 1557 566.454 627.893 156957 35000
 189367 193847 0.0233804 240.67 0.0307873 0.148841 0.346149 0.0513208 0.0201827 0.0870053 0.0743811 0.0143201 0.227013 0.0115946 0.153696 0.352979 0.0241286 0.015204 0.118541 0.11157 0.0315698 0.180717 0.036034 0.155984 0.335573 0.0487328 0.022573 0.0866561 0.0740826 0.0142626 0.226101 0.01 0.102 0.316 0.018 0.012 0.132 0.14 0.033 0.236 1301.72 1348.92 492.81 540.016 193847 35000
 208564 185412 -0.117669 264.824 0.0314445 0.0591254 0.228031 0.376293 0.0413599 0.0142111 0.0534483 0.0456687 0.150418 0.0045 0.0284 0.1736 0.3602 0.034 0.0236 0.1069 0.0907 0.178 0.0373222 0.0628369 0.224182 0.362357 0.0469106 0.0143537 0.0539845 0.0461269 0.151927 0.003 0.025 0.159 0.338 0.029 0.03 0.116 0.107 0.193 1149.78 1229.43 494.048 573.704 185412 35000
 199484 0 0 275.934 0.0340112 0.0673885 0.10062 0.272611 0.328978 0.031534 0.00745983 0.031857 0.12554 0.012 0.055 0.092 0.26 0.301 0.053 0.021 0.052 0.1511 0.0386335 0.0685403 0.0946696 0.251231 0.35709 0.0304813 0.00721081 0.0307936 0.12135 0.012 0.055 0.092 0.26 0.301 0.053 0.021 0.052 0.1511 1056.04 1127.95 505.575 577.483 0 35000
 190295 0 0 215.157 0.0289161 0.0765884 0.120656 0.127201 0.253826 0.267836 0.0219297 0.00394332 0.0991042 0.003 0.05 0.07 0.088 0.227 0.255 0.076 0.046 0.184 0.0329545 0.078155 0.113896 0.117612 0.276427 0.259751 0.0212677 0.00382429 0.0961126 -9 -9 -9 -9 -9 -9 -9 -9 -9 933.322 997.715 463.49 527.884 0 35000
 159420 144888 -0.0955798 375.551 0.0548551 0.0649305 0.136884 0.152408 0.11844 0.207154 0.188385 0.0127059 0.0642375 0.1141 0.091 0.167 0.148 0.086 0.16 0.13 0.036 0.07 0.0633965 0.0671916 0.131034 0.142904 0.130802 0.20373 0.185271 0.0124959 0.0631756 0.1251 0.07 0.149 0.12 0.091 0.171 0.138 0.052 0.082 999.386 1067.17 411.18 478.962 144888 35000
 150832 0 0 79.1253 0.0129067 0.126362 0.118683 0.175738 0.143084 0.0974378 0.146234 0.132646 0.046908 0.001 0.068 0.063 0.121 0.115 0.113 0.146 0.179 0.194 0.0149416 0.130983 0.113803 0.165057 0.158285 0.0959886 0.144059 0.130673 0.0462104 -9 -9 -9 -9 -9 -9 -9 -9 -9 757.206 819.699 365.679 428.171 0 35000
 127917 157029 0.205048 82.6912 0.0151051 0.0298282 0.2319 0.152971 0.163811 0.116404 0.0681739 0.10341 0.118397 0.01 0.025 0.307 0.129 0.144 0.107 0.048 0.11 0.121 0.0175568 0.0310433 0.223257 0.144251 0.181942 0.115134 0.0674299 0.102282 0.117105 0.005 0.017 0.182 0.109 0.129 0.105 0.071 0.145 0.235 587.164 643.803 324.175 380.814 157029 35000
 123998 0 0 472.664 0.0931947 0.0336338 0.0527142 0.287572 0.138474 0.12814 0.0786862 0.0450405 0.142545 0.029 0.023 0.03 0.199 0.168 0.1 0.098 0.107 0.248 0.107338 0.034686 0.0502889 0.268717 0.152405 0.125591 0.0771209 0.0441446 0.139709 -9 -9 -9 -9 -9 -9 -9 -9 -9 852.114 907.769 300.384 356.039 130905 35000
