Survival for_mat_baa for_mat_prop fw_a_a
 0.739686 0 0 220
 0.739686 8126.98 0.104583 258
 0.739686 4650.56 0.051813 298
 0.739686 11548.3 0.109235 351
 0.739686 21053.3 0.182029 384
 0.739686 20719.2 0.169433 406
 0.739686 11542.4 0.0914604 419
 0.739686 13660.6 0.0999001 454
 0.739686 28500.5 0.191548 494
